epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0003,0.51283,0.98527,1.10083,0.65137,0.57568,0.62647,0.49895,0.61878,1.7879,1.17533,0.000552788,0.000552788,0.000552788
2,104.223,0.54211,0.65542,1.09115,0.9181,0.93242,0.9622,0.8497,0.55468,0.5512,1.19655,0.00108102,0.00108102,0.00108102
3,151.935,0.54016,0.61596,1.08858,0.88373,0.869,0.94317,0.71508,0.91501,0.73383,1.91309,0.00158175,0.00158175,0.00158175
4,201.758,0.49973,0.56739,1.06233,0.95214,0.95962,0.97809,0.89781,0.45735,0.41451,1.04219,0.00154323,0.00154323,0.00154323
5,252.714,0.46468,0.52674,1.04249,0.92398,0.86589,0.97784,0.90937,0.42049,0.52341,1.01102,0.00150197,0.00150197,0.00150197
6,301.337,0.44978,0.5188,1.03493,0.76758,0.93898,0.97457,0.90899,0.38163,0.6251,0.9623,0.00146071,0.00146071,0.00146071
7,349.968,0.43293,0.49153,1.0283,0.83461,0.90039,0.9756,0.91756,0.36167,0.53751,0.93624,0.00141945,0.00141945,0.00141945
8,397.666,0.42191,0.46945,1.01698,0.95954,0.95602,0.98643,0.9345,0.35579,0.32359,0.92354,0.00137819,0.00137819,0.00137819
9,445.348,0.41905,0.45702,1.01961,0.92419,0.92548,0.98202,0.93931,0.32452,0.38705,0.90922,0.00133693,0.00133693,0.00133693
10,494.098,0.39423,0.43853,1.00199,0.98243,0.98251,0.98988,0.94974,0.30706,0.26072,0.89875,0.00129568,0.00129568,0.00129568
11,542.212,0.3886,0.41995,1.00283,0.9351,0.94978,0.98389,0.94328,0.30086,0.32478,0.88962,0.00125442,0.00125442,0.00125442
12,590.314,0.38534,0.40701,0.99832,0.98366,0.98119,0.98835,0.94401,0.31851,0.26273,0.89987,0.00121316,0.00121316,0.00121316
13,637.673,0.37359,0.40068,0.99105,0.97926,0.97637,0.98698,0.95219,0.31156,0.25932,0.89389,0.0011719,0.0011719,0.0011719
14,685.902,0.3775,0.39798,0.99644,0.93608,0.94624,0.98522,0.94551,0.3252,0.35913,0.90168,0.00113064,0.00113064,0.00113064
15,733.742,0.36883,0.39509,0.98794,0.98522,0.97975,0.98668,0.95621,0.28506,0.23593,0.86386,0.00108938,0.00108938,0.00108938
16,783.461,0.35381,0.37667,0.98313,0.96726,0.97339,0.9907,0.95778,0.29613,0.26657,0.8755,0.00104813,0.00104813,0.00104813
17,833.212,0.35518,0.3764,0.98114,0.97877,0.97193,0.98884,0.95863,0.28815,0.24706,0.87035,0.00100687,0.00100687,0.00100687
18,881.126,0.34816,0.3665,0.98282,0.99018,0.98375,0.99048,0.96036,0.28763,0.22606,0.86502,0.00096561,0.00096561,0.00096561
19,928.425,0.34419,0.35156,0.98187,0.97637,0.97819,0.99009,0.95579,0.30552,0.25409,0.88623,0.000924352,0.000924352,0.000924352
20,976.624,0.35117,0.36132,0.98432,0.9803,0.98296,0.99131,0.95428,0.31236,0.2401,0.89217,0.000883093,0.000883093,0.000883093
21,1024.14,0.34011,0.34552,0.97691,0.98733,0.97996,0.98691,0.95931,0.2799,0.22234,0.86222,0.000841835,0.000841835,0.000841835
22,1072.06,0.34903,0.36313,0.97957,0.98561,0.98482,0.99041,0.96161,0.29016,0.22621,0.87055,0.000800577,0.000800577,0.000800577
23,1119.97,0.34558,0.35821,0.97606,0.99095,0.9826,0.98984,0.95839,0.29473,0.24416,0.87188,0.000759318,0.000759318,0.000759318
24,1168.12,0.33961,0.35282,0.97706,0.98551,0.98013,0.98991,0.96219,0.27621,0.22816,0.85755,0.00071806,0.00071806,0.00071806
25,1215.09,0.33516,0.32742,0.97424,0.9834,0.97368,0.99071,0.96623,0.26951,0.23562,0.85217,0.000676802,0.000676802,0.000676802
26,1261.17,0.3254,0.32748,0.96762,0.98902,0.98491,0.99118,0.96213,0.28346,0.22116,0.86759,0.000635544,0.000635544,0.000635544
27,1310.04,0.31955,0.32834,0.97031,0.99034,0.98331,0.99152,0.96712,0.27868,0.2188,0.86306,0.000594286,0.000594286,0.000594286
28,1362.46,0.31962,0.32424,0.96642,0.98944,0.98588,0.99205,0.96714,0.26496,0.20347,0.8493,0.000553027,0.000553027,0.000553027
29,1410.45,0.31128,0.31587,0.96604,0.991,0.98626,0.99068,0.96622,0.26005,0.19008,0.84615,0.000511769,0.000511769,0.000511769
30,1458.19,0.31846,0.31381,0.96384,0.99042,0.98504,0.99138,0.96795,0.27396,0.21612,0.85685,0.000470511,0.000470511,0.000470511
31,1522.5,0.20904,0.21488,0.92149,0.99141,0.98589,0.99218,0.96642,0.26145,0.19326,0.84048,0.000429253,0.000429253,0.000429253
32,1570.08,0.19676,0.20274,0.92253,0.99061,0.98583,0.99174,0.96633,0.26724,0.20861,0.85251,0.000387994,0.000387994,0.000387994
33,1617.94,0.1952,0.19742,0.92412,0.99085,0.98534,0.99155,0.95942,0.27527,0.21332,0.85399,0.000346736,0.000346736,0.000346736
34,1666.09,0.19329,0.1875,0.91368,0.98973,0.9855,0.9917,0.96768,0.27387,0.2057,0.8564,0.000305478,0.000305478,0.000305478
35,1713.87,0.18467,0.18149,0.91194,0.99172,0.98626,0.99187,0.96815,0.25475,0.19857,0.83749,0.00026422,0.00026422,0.00026422
36,1762.55,0.17933,0.16994,0.91361,0.98893,0.98613,0.99173,0.97207,0.25424,0.19259,0.83945,0.000222961,0.000222961,0.000222961
37,1812.62,0.17486,0.16309,0.91009,0.99188,0.98626,0.99181,0.97013,0.25278,0.18069,0.84009,0.000181703,0.000181703,0.000181703
38,1862.13,0.1738,0.16089,0.90679,0.98188,0.98749,0.99218,0.96937,0.2504,0.18518,0.83779,0.000140445,0.000140445,0.000140445
39,1909.81,0.16497,0.15172,0.90614,0.99085,0.98397,0.99237,0.9706,0.25209,0.18347,0.83531,9.91865e-05,9.91865e-05,9.91865e-05
40,1957.27,0.16198,0.14623,0.90131,0.99192,0.98626,0.99248,0.9735,0.24437,0.1755,0.83075,5.79283e-05,5.79283e-05,5.79283e-05
